,0
1465,14846
1466,14852
1467,14870
1468,14876
1469,14887
1470,14888
1471,14902
1472,14916
1473,14924
1474,14944
1475,14958
1476,14971
1477,14982
1478,14985
1479,14986
1480,14987
1481,15005
1482,15026
1483,15037
1484,15053
1485,15069
1486,15074
1487,15090
1488,15098
1489,15108
1490,15181
1491,15189
1492,15194
1493,15207
1494,15225
1495,15229
1496,15231
1497,15241
1498,15249
1499,15252
1500,15262
1501,15263
1502,15282
1503,15294
1504,15300
1505,15305
1506,15307
1507,15320
1508,15344
1509,15357
1510,15359
1511,15361
1512,15365
1513,15368
1514,15370
1515,15378
1516,15384
1517,15403
1518,15404
1519,15419
1520,15435
1521,15462
1522,15481
1523,15484
1524,15489
1525,15497
1526,15505
1527,15536
1528,15553
1529,15555
1530,15558
1531,15568
1532,15577
1533,15614
1534,15619
1535,15636
1536,15643
1537,15660
1538,15676
1539,15686
1540,15692
1541,15708
1542,15715
1543,15717
1544,15724
1545,15735
1546,15738
1547,15751
1548,15806
1549,15809
1550,15814
1551,15827
1552,15838
1553,15841
1554,15847
1555,15853
1556,15857
1557,15879
1558,15909
1559,15913
1560,15916
1561,15946
1562,15955
1563,15959
1564,15987
1565,15992
1566,16019
1567,16032
1568,16044
1569,16047
1570,16056
1571,16064
1572,16077
1573,16081
1574,16092
1575,16115
1576,16122
1577,16130
1578,16139
1579,16144
1580,16148
1581,16150
1582,16171
1583,16191
1584,16193
1585,16194
1586,16200
1587,16211
1588,16212
1589,16224
1590,16240
1591,16241
1592,16274
1593,16282
1594,16295
1595,16301
1596,16330
1597,16334
1598,16368
1599,16373
1600,16402
1601,16417
1602,16423
1603,16437
1604,16438
1605,16444
1606,16445
1607,16451
1608,16467
1609,16483
1610,16490
1611,16510
1612,16515
1613,16530
1614,16542
1615,16577
1616,16584
1617,16588
1618,16600
1619,16608
1620,16617
1621,16618
1622,16659
1623,16672
1624,16696
1625,16705
1626,16711
1627,16712
1628,16717
1629,16728
1630,16738
1631,16742
1632,16748
1633,16783
1634,16798
1635,16800
1636,16829
1637,16838
1638,16846
1639,16858
1640,16866
1641,16870
1642,16872
